89.248.168.108 - - [10/Jan/2021:00:17:37 +0900] "HEAD / HTTP/1.0" 404 -
46.174.191.31 - - [10/Jan/2021:00:27:27 +0900] "GET / HTTP/1.0" 404 807
44.234.85.102 - - [10/Jan/2021:00:37:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:45:38 +0900] "GET /test/home.jsp HTTP/1.1" 500 2692
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:45:56 +0900] "GET /test/test.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:53:49 +0900] "GET /test/home.jsp HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:53:49 +0900] "GET /test/resources/js/bootstrap.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:53:49 +0900] "GET /test/resources/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:53:49 +0900] "GET /test/resources/js/jquery-3.3.1.min.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:53:57 +0900] "POST /test/member/login.do?url= HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:54:33 +0900] "GET /test/home.jsp HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:54:33 +0900] "GET /test/resources/js/bootstrap.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:54:33 +0900] "GET /test/resources/js/jquery-3.3.1.min.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:54:33 +0900] "GET /test/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:54:40 +0900] "GET /test/member/signup_form.do HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:54:42 +0900] "GET /test/resources/js/jquery-3.3.1.min.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [10/Jan/2021:00:54:42 +0900] "GET /test/resources/js/bootstrap.min.js HTTP/1.1" 404 853
196.216.92.4 - - [10/Jan/2021:00:55:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:00:06 +0900] "GET /test/ HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:00:16 +0900] "GET /test/home.jsp HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:00:16 +0900] "GET /test/resources/js/jquery-3.3.1.min.js HTTP/1.1" 404 856
